YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,10,17,9,6
2026/01/07,4,4,3,2,1,9,5,4,14,23,0,2,298,104,54,31,39,45,50,56,52,32,34,24
2026/01/08,19,34,5,2,9,20,38,57,82,34,31,20,112,98,80,40,41,49,35,91,104,115,374,112
2026/01/09,101,71,24,20,12,26,38,47,41,30,42,41,326,138,79,56,42,54,91,50,60,47,42,31
2026/01/10,27,18,13,7,5,6,18,16,15,13,22,14,17,18,19,19,10,22,18,10,11,13,17,10
2026/01/11,7,5,4,3,0,2,3,5,3,2,4,5,198,85,126,77,34,33,55,35,33,25,15,22
2026/01/12,18,8,12,11,6,8,9,5,11,13,9,8,17,25,10,11,7,4,18,14,63,108,89,39
2026/01/13,18,11,10,7,11,10,10,11,13,33,60,62,239,76,67,49,58,65,25,0,0,0,0,0
