YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,16,4,10,12,7,13
2026/01/08,5,1,4,1,3,2,4,8,2,5,3,7,8,5,3,4,12,21,22,20,29,31,14,7
2026/01/09,12,3,4,0,1,3,4,12,6,4,2,6,7,3,4,5,5,5,6,9,5,5,8,3
2026/01/10,2,4,2,0,0,2,1,5,3,5,2,5,16,58,69,63,49,32,33,43,40,27,93,300
2026/01/11,153,65,30,22,21,17,31,35,46,44,35,24,39,39,42,28,27,20,21,23,24,53,24,26
2026/01/12,25,9,6,5,1,2,7,9,8,7,6,10,15,60,116,135,88,93,113,41,120,67,29,12
2026/01/13,10,8,2,4,4,4,3,2,4,1,5,2,9,6,2,3,2,6,8,6,201,192,99,57
2026/01/14,41,23,8,5,8,15,18,30,17,9,12,9,45,16,12,13,6,0,0,0,0,0,0,0
