YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,6,7,7
2026/01/07,3,3,0,2,1,3,7,7,4,1,3,3,25,23,12,12,11,5,14,16,14,11,16,13
2026/01/08,7,4,1,0,1,2,2,3,2,7,2,1,5,3,0,6,3,11,15,19,20,15,13,8
2026/01/09,14,3,4,1,0,0,3,3,1,8,0,4,5,5,0,4,3,3,3,9,13,6,7,3
2026/01/10,9,1,1,1,1,0,2,6,3,4,1,2,6,2,4,3,3,6,11,9,41,22,226,285
2026/01/11,102,26,13,19,20,19,18,29,31,34,30,28,22,17,23,26,20,9,11,9,11,16,20,6
2026/01/12,16,20,9,1,2,5,8,37,223,248,197,145,148,96,67,51,42,50,32,36,30,43,32,34
2026/01/13,15,9,6,3,8,4,4,13,8,8,6,9,22,4,7,6,10,11,8,10,10,13,13,16
2026/01/14,8,7,3,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
