YYYY/MM/DD,0~1,1~2,2~3,3~4,4~5,5~6,6~7,7~8,8~9,9~10,10~11,11~12,12~13,13~14,14~15,15~16,16~17,17~18,18~19,19~20,20~21,21~22,22~23,23~24
2026/01/08,25,13,5,6,5,2,9,9,9,15,208,196,183,87,56,46,51,57,55,36,37,29,31,33
2026/01/09,20,12,8,1,4,2,6,9,4,8,6,2,5,8,5,6,4,8,6,4,13,4,9,10
2026/01/10,7,2,0,2,0,0,3,5,1,4,6,2,5,1,2,2,1,6,5,6,11,4,11,1
2026/01/11,3,1,2,0,0,0,0,3,1,11,7,6,321,183,122,68,70,43,41,29,30,18,14,13
2026/01/12,10,19,11,4,6,0,4,7,7,6,5,4,12,5,4,10,5,7,7,4,8,5,17,11
2026/01/13,5,3,2,1,4,2,2,3,4,2,4,2,6,4,1,3,1,6,1,6,11,3,9,5
2026/01/14,4,1,0,0,1,0,3,3,4,2,2,6,4,2,2,5,1,2,6,8,4,3,12,6
2026/01/15,2,3,4,3,3,1,1,9,12,10,17,10,193,229,137,95,64,60,65,51,53,42,23,26
2026/01/16,26,8,6,4,4,8,9,7,7,14,11,7,11,5,10,3,2,13,10,5,7,10,6,0
